categoria;tipo;qtde_jogos;jogos_finalizados;jogos_pendentes;1_lugar;2_lugar;3_lugar1;3_lugar2
ABSOLUTO A FEM;I;15;14;1;;;;
ABSOLUTO A MAS;I;22;20;2;;;;
ABSOLUTO B MAS;I;6;6;0;;;;
ABSOLUTO C FEM;I;12;9;3;;;;
ABSOLUTO C MAS;I;14;11;3;;;;
ABSOLUTO D FEM;I;15;12;3;;;;
ABSOLUTO D MAS;I;34;33;1;;;;
ABSOLUTO E FEM;I;37;36;1;;;;
ABSOLUTO E MAS;I;35;33;2;;;;
ABSOLUTO F MAS;I;57;54;3;;;;
ABSOLUTO G MAS;I;92;89;3;;;;
ADULTO FEM;I;3;0;3;;;;
ADULTO MAS;I;8;0;8;;;;
MASTER 30FEM;I;3;0;3;;;;
MASTER 30MAS;I;27;0;27;;;;
MASTER 40FEM;I;3;0;3;;;;
MASTER 40MAS;I;12;9;3;;;;
MASTER 50FEM;I;3;0;3;;;;
MASTER 50MAS;I;17;16;1;;;;
MASTER 60FEM;I;9;8;1;;;;
MASTER 60MAS;I;20;17;3;;;;
MASTER 70FEM;I;10;8;2;;;;
MASTER 70MAS;I;8;6;2;;;;
MASTER 75MAS;I;10;10;0;;;;
SUB-07 MAS;I;6;0;6;;;;
SUB-09 FEM;I;12;11;1;;;;
SUB-09 MAS;I;22;19;3;;;;
SUB-11 FEM;I;15;0;15;;;;
SUB-11 MAS;I;40;0;40;;;;
SUB-13 FEM;I;19;18;1;;;;
SUB-13 MAS;I;49;46;3;;;;
SUB-15 FEM;I;20;0;20;;;;
SUB-15 MAS;I;39;0;39;;;;
SUB-17 FEM;I;19;18;1;;;;
SUB-17 MAS;I;35;32;3;;;;
SUB-19 FEM;I;14;0;14;;;;
SUB-19 MAS;I;24;0;24;;;;
SUB-21 FEM;I;6;0;6;;;;
SUB-21 MAS;I;10;0;10;;;;
