ordem;nome_do_clube;qtde_atletas;qtde_inscritos
1;ASSOCIAÇÃO DOS MESATENISTAS DE GUAIRA-PR;41;50
2;ASSOCIAÇÃO MARINGAENSE DE TÊNIS DE MESA - PR;33;40
3;ATEMEL/ACEL LONDRINA - PR;30;40
4;ASSOCIACAO DE TENIS DE MESA DE JARDIM ALEGRE - PR;36;37
5;AIEL SÃO JOSÉ DOS PINHAIS - PR;28;33
6;ASSOC. DOS MESATENISTAS DE CASCÁVEL-PR;26;32
7;ASSOCIAÇÃO DE TENIS DE MESA DE FOZ DO IGUAÇU-PR;24;32
8;SOCIEDADE THALIA CURITIBA - PR;29;29
9;CENTRO DE TENIS DE MESA DE PONTA GROSSA - PR;23;29
10;PREFEITURA DE TOLEDO/YARA COUNTRY CLUBE - PR;23;28
11;ASSOCIAÇÃO DE TÊNIS DE MESA DE GUARAPUAVA-PR;26;26
12;STREET PONG - PR;17;20
13;SOC. NIPO BRASILEIRA DE CAMPO MOURÃO/SONIBRAM-PR;16;18
14;ACADEMIA FITPONG DE TÊNIS DE MESA-PR;16;17
15;LIGA LITORAL DE TÊNIS DE MESA-PR;10;12
16;ARTM/ACER - ROLÂNDIA - PR;10;11
17;ASSOCIAÇÃO ATLÉTICA CULTURAL COPAGRIL-PR;10;10
18;NIKKEI CURITIBA - PR;7;7
19;SAMA ASSAÍ - PR;7;7
20;GP TÊNIS DE MESA PERFORMANCE - PR;6;7
21;ASSOCIACAO DOS ATLETAS SÃOMATEUENSES - PR;5;5
22;ASSOCIAÇÃO DESPORTIVA E PARADESPORTIVA IRATI - PR;5;5
23;ASSOCIAÇÃO DOS MESATENISTAS DE MATINHOS - PR;1;1
