ATLETA;RATING
ADILSON KUBO;750, 771, 789, 804
ADRIANE TAKAYAMA;58
ALAN GONÇALVES;1059, 1044, 1038
ÁLEFE DIAS;997, 1066, 1084
ALESANDRO WOLSKI;780, 801, 759, 717
ALEXANDRE GLIZT;312, 336
ALICE BLANCO;247, 280, 313, 349
ALLANYS SOARES;321
ALLEX SAKATA;1904, 1994
AMANDA OLIVEIRA;724
ANA BRAGA;1482, 1482, 1473
ANA MAIA;250, 223, 208, 190
ANA MARQUES;483, 498
ANA VITO;178, 175, 154
ANDERSON LOPES;241
ANDERSON SANTOS;2348, 2282, 2216
ANDRÉ BERGMANN;2188
ANDRÉ CABRAL;250, 277, 244, 226
ANDRÉ KOCHI;301, 280
ANDRÉ MELLO;1074, 1074, 1095
ANDRÉ SILVA;1385, 1385
ANDRÉ WELCOFF;419, 401, 431, 401
ANDRE.HENRIQUE MOREIRA;897, 891, 876
ANTHONY ACOSTA;2992
ANTONIO WOLSKI;220, 199, 178
ARTHUR ALEXANDRE;199
ARTHUR FAEDO;265, 232
ARTHUR GROSSE;586, 586, 601
ARTHUR KADLUBISKI;1165, 1168, 1180
ARTHUR LIMA;250, 232, 211
ARTHUR MOKFA;661, 709, 688
ARTHUR NETO;370
ARTHUR NOBILI;166
ARTHUR PIGNATTI;2483, 2483, 2417
BENJAMIM REFUNDINI;611, 623, 617
BENJAMIM SOUZA;1521, 1551, 1536
BENJAMIM TAKATSUKI;878, 884
BENJAMIN HORST;693, 702, 675
BERNARDO COSTA;244
BERNARDO INOUE;918, 978, 969
BIANCA ALVES;279, 321, 288, 324
BIANCA SANTOS;1996, 1999, 2077
BRIAN MUZER;1001, 1004, 1016
BRUNO FERREIRA;1687, 1708
CAIO BONI;362, 350, 332
CARLOS ANJOS;250, 250, 244
CARLOS SANTOS;349, 349
CAROLIN BERTHOLDI;373, 340, 310
CAROLINA ONO;283, 283, 256
CATARINA CANESSO;221, 248
CATARINA CARVALHO;182, 170
CAUÃ KNACK;2371, 2374, 2380
CAUÃ MATHEUS;1216, 1213, 1303
CAUÊ MARTINS;2803, 2806, 2809
CELINA KURIHARA;178, 157
CEZAR SCHACHT;1633, 1648
CLARA VOIDA;745, 769
CLAUDIO IURCK;1072, 1078
CORA BLANCO;245, 197, 185
CRISTIANO STENZEL;1289
CRISTOFFER VIEIRA;444, 465, 477
CRYSTIAN KASUGA;1379
DANIEL MELO;93, 87
DANIEL MENEGASSI;325, 298
