Categoria;Fase;Data;Horario;Mesa;Atleta_1;Placar_Atleta_1;Atleta_2;Placar_Atleta_2;Placar_Geral;Sets_Parciais
ABSOLUTO A FEM;Grupo 02;22/08/2026;13:30;MESA 8;MARIA MENDES;3;SABRINA MIZVA;0;3-0;(11-7)(11-9)(11-3)
ABSOLUTO A FEM;Grupo 02;22/08/2026;14:45;MESA 8;MARIA MENDES;3;RENATA TSUKADA;2;3-2;(11-7)(9-11)(11-5)(10-12)(11-5)
ABSOLUTO A FEM;Grupo 02;22/08/2026;16:00;MESA 9;MARIA MENDES;;MARIA ALVES;;Agendado;-
ABSOLUTO D MAS;Grupo 06;22/08/2026;08:30;MESA 19;ALAN GONÇALVES;1;MATHEUS GOMES;3;1-3;(11-6)(5-11)(4-11)(3-11)
ABSOLUTO D MAS;Grupo 06;22/08/2026;11:00;MESA 19;ALAN GONÇALVES;2;GABRIEL SENNA;3;2-3;(8-11)(11-9)(5-11)(12-10)(10-12)
ABSOLUTO E FEM;Grupo 02;22/08/2026;10:35;MESA 10;YUMI SOUZA;3;ANA VITO;0;3-0;(11-7)(11-8)(11-5)
ABSOLUTO E FEM;Grupo 02;22/08/2026;11:50;MESA 10;ISADHORA FERREIRA;3;YUMI SOUZA;0;3-0;(11-5)(11-8)(11-4)
ABSOLUTO E FEM;Oitavas de Final;22/08/2026;14:20;MESA 17;YUMI SOUZA;3;KAMILY ZANATTA;0;3-0;(11-0)(11-0)(11-0)
ABSOLUTO E FEM;Quartas de Final;22/08/2026;17:15;MESA 17;ÉVELIN LEMES;;YUMI SOUZA;;Agendado;-
ABSOLUTO F MAS;Grupo 10;22/08/2026;08:55;MESA 22;LAM FAI;0;EMANUEL MAINGUE;3;0-3;(4-11)(6-11)(9-11)
ABSOLUTO F MAS;Grupo 02;22/08/2026;10:10;MESA 14;LEONARDO RAMIREZ;3;JANDI BARBOSA;1;3-1;(13-15)(11-6)(11-9)(11-3)
ABSOLUTO F MAS;Grupo 02;22/08/2026;11:25;MESA 14;DANIEL VAZ;3;LEONARDO RAMIREZ;0;3-0;(11-7)(12-10)(11-7)
ABSOLUTO F MAS;Grupo 10;22/08/2026;11:25;MESA 22;LAM FAI;0;ANDRÉ WELCOFF;3;0-3;(7-11)(7-11)(8-11)
ABSOLUTO F MAS;Oitavas de Final;22/08/2026;12:15;MESA 23;LEONARDO RAMIREZ;3;SAMUEL ZILIO;0;3-0;(11-0)(11-0)(11-0)
ABSOLUTO F MAS;Oitavas de Final;22/08/2026;16:50;MESA 9;RAPHAEL SOUZA;;LEONARDO RAMIREZ;;Agendado;-
ABSOLUTO G MAS;Grupo 04;22/08/2026;08:30;MESA 4;EDGAR JUNIOR;1;DAVI NOVAES;3;1-3;(9-11)(11-8)(4-11)(6-11)
ABSOLUTO G MAS;Grupo 10;22/08/2026;08:30;MESA 11;IAN JUNIOR;1;MARLOM SCHMITT;3;1-3;(11-9)(4-11)(5-11)(3-11)
